ts,flow
1751328048,30.268333333333338
1751328948,30.350833333333334
1751329848,30.25
1751330748,30.17666666666667
1751331648,30.25
1751332548,29.975
1751333448,30.057499999999997
1751334348,30.020833333333332
1751335248,30.039166666666667
1751336148,30.039166666666667
1751337048,30.14
1751337948,30.158333333333335
1751338848,30.039166666666667
1751339748,30.305000000000003
1751340648,30.194999999999997
1751341548,30.057499999999997
1751342448,30.084999999999997
1751343348,30.075833333333335
1751344248,30.01166666666667
1751345148,29.846666666666668
1751346048,29.93833333333333
1751346948,30.057499999999997
1751347848,30.084999999999997
1751348748,30.057499999999997
1751349648,30.039166666666667
1751350548,29.82833333333333
1751351448,29.98416666666667
1751352348,29.8925
1751353248,30.057499999999997
1751354148,29.98416666666667
1751355048,29.791666666666668
1751355948,29.82833333333333
1751356848,29.727500000000003
1751357748,29.709166666666665
1751358648,29.690833333333334
1751359548,29.7825
1751360448,29.846666666666668
1751361348,29.617500000000003
1751362248,29.544166666666662
1751363148,29.626666666666665
1751364048,29.51666666666667
1751364948,29.498333333333335
1751365848,29.479999999999997
1751366748,29.736666666666665
1751367648,29.580833333333338
1751368548,29.5625
1751369448,29.443333333333328
1751370348,29.470833333333335
1751371248,29.479999999999997
1751372148,29.388333333333335
1751373048,29.406666666666666
1751373948,29.553333333333338
1751374848,29.535
1751375748,29.443333333333328
1751376648,29.425000000000004
1751377548,29.580833333333338
1751378448,29.250833333333333
1751379348,28.939166666666665
1751380248,28.88416666666667
1751381148,28.8475
1751382048,28.939166666666665
1751382948,28.86583333333333
1751383848,28.89333333333333
1751384748,28.939166666666665
1751385648,28.9025
1751386548,28.7925
1751387448,28.737500000000004
1751388348,28.9025
1751389248,28.829166666666666
1751390148,28.664166666666667
1751391048,28.499166666666667
1751391948,28.664166666666667
1751392848,28.709999999999997
1751393748,28.664166666666667
1751394648,28.85666666666667
1751395548,28.783333333333335
1751396448,28.508333333333333
1751397348,28.6275
1751398248,28.673333333333336
1751399148,28.554166666666667
1751400048,28.5725
1751400948,28.554166666666667
1751401848,28.324999999999996
1751402748,28.004166666666666
1751403648,28.15083333333333
1751404548,28.215
1751405448,28.077499999999997
1751406348,28.095833333333335
1751407248,28.086666666666666
1751408148,28.022499999999997
1751409048,28.095833333333335
1751409948,27.976666666666667
1751410848,27.92166666666667
1751411748,28.077499999999997
1751412648,27.894166666666663
1751413548,28.050000000000004
1751414448,27.8575
1751415348,28.004166666666666
1751416248,28.233333333333334
1751417148,28.581666666666663
1751418048,28.499166666666667
1751418948,28.545
1751419848,28.7925
1751420748,28.6275
1751421648,28.691666666666666
1751422548,28.939166666666665
1751423448,28.737500000000004
1751424348,28.7925
1751425248,29.040000000000003
1751426148,29.058333333333334
1751427048,29.085833333333333
1751427948,29.012499999999996
1751428848,29.168333333333337
1751429748,29.049166666666668
1751430648,29.113333333333337
1751431548,29.021666666666665
1751432448,28.9575
1751433348,28.939166666666665
1751434248,28.920833333333334
1751435148,28.9575
1751436048,28.8475
1751436948,28.86583333333333
1751437848,28.966666666666665
1751438748,28.9025
1751439648,28.7925
1751440548,28.829166666666666
1751441448,28.783333333333335
1751442348,28.85666666666667
1751443248,28.746666666666666
1751444148,28.89333333333333
1751445048,28.829166666666666
1751445948,28.82
1751446848,28.783333333333335
1751447748,28.810833333333335
1751448648,28.783333333333335
1751449548,28.85666666666667
1751450448,27.8575
1751451348,28.664166666666667
1751452248,28.5175
1751453148,28.700833333333332
1751454048,28.545
1751454948,28.691666666666666
1751455848,28.618333333333332
1751456748,28.590833333333332
1751457648,28.6275
1751458548,28.746666666666666
1751459448,28.737500000000004
1751460348,28.636666666666663
1751461248,28.82
1751462148,28.709999999999997
1751463048,28.746666666666666
1751463948,28.700833333333332
1751464848,28.343333333333334
1751465748,28.059166666666666
1751466648,27.8575
1751467548,27.930833333333332
1751468448,27.8025
1751469348,27.628333333333334
1751470248,27.94
1751471148,27.811666666666667
1751472048,27.784166666666668
1751472948,27.820833333333333
1751473848,27.820833333333333
1751474748,27.775
1751475648,27.591666666666665
1751476548,27.610000000000003
1751477448,27.555
1751478348,27.738333333333337
1751479248,27.701666666666664
1751480148,27.692500000000003
1751481048,27.610000000000003
1751481948,27.628333333333334
1751482848,27.655833333333334
1751483748,27.930833333333332
1751484648,27.729166666666668
1751485548,27.692500000000003
1751486448,27.628333333333334
1751487348,27.729166666666668
1751488248,27.848333333333333
1751489148,27.784166666666668
1751490048,27.894166666666663
1751490948,27.894166666666663
1751491848,27.866666666666667
1751492748,27.637499999999996
1751493648,27.51833333333333
1751494548,27.53666666666667
1751495448,27.48166666666667
1751496348,27.53666666666667
1751497248,27.389999999999997
1751498148,27.399166666666666
1751499048,27.389999999999997
1751499948,27.5
1751500848,27.48166666666667
1751501748,27.353333333333335
1751502648,27.435833333333335
1751503548,27.619166666666665
1751504448,28.022499999999997
1751505348,28.19666666666667
1751506248,28.2425
1751507148,28.288333333333334
1751508048,28.306666666666665
1751508948,28.4075
1751509848,28.398333333333333
1751510748,28.361666666666668
1751511648,28.5175
1751512548,28.444166666666668
1751513448,28.480833333333337
1751514348,28.581666666666663
1751515248,28.590833333333332
1751516148,28.590833333333332
1751517048,28.673333333333336
1751517948,28.618333333333332
1751518848,28.664166666666667
1751519748,28.709999999999997
1751520648,28.6275
1751521548,28.435
1751522448,28.728333333333335
1751523348,28.4625
1751524248,28.4075
1751525148,28.499166666666667
1751526048,28.4625
1751526948,28.352500000000003
1751527848,28.361666666666668
1751528748,28.380000000000003
1751529648,28.279166666666665
1751530548,28.315833333333334
1751531448,28.352500000000003
1751532348,28.444166666666668
1751533248,28.15083333333333
1751534148,28.27
1751535048,28.279166666666665
1751535948,28.27
1751536848,28.343333333333334
1751537748,28.279166666666665
1751538648,28.27
1751539548,28.315833333333334
1751540448,28.306666666666665
1751541348,28.279166666666665
1751542248,28.2425
1751543148,28.279166666666665
